Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
LAURENT-PERRIER SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8487816100,LAURENT-PERRIER,WHITE,750ML,Latest 4 Wks,377024.39,399680.03,536.653,555.31,6439.839,6663.725,0.03053,0.02863,123493.0855,261443.248,2076.095,181.6026675,TOTAL,261123,2399,180.79,,58.55,59.98,0.79%
RUINART SPK CHAMPAGNE BLANC DE BLANC WHITE BRUT CHAMPAGNE FRANCE 750ML,8807616722,RUINART,WHITE,750ML,Latest 52 Wks,6035233.57,6033186.633,4837.734,4848.864,58052.811,58186.374,0.02473,0.02277,2440450.291,260960.495,2535.308,2380.473524,TOTAL,260885,2525,2362.09,,103.96,103.69,0.97%
RUINART SPK CHAMPAGNE BLANC DE BLANC WHITE BRUT CHAMPAGNE FRANCE 750ML,8807616722,RUINART,WHITE,750ML,Latest 26 Wks,2786661.319,2248927.115,2202.141,1799.406,26425.699,21592.874,0.02191,0.01843,1271867.33,261037.091,2094.698,1330.340373,TOTAL,260922,1995,1330.15,,105.45,104.15,0.80%
RUINART SPK CHAMPAGNE BLANC DE BLANC WHITE BRUT CHAMPAGNE FRANCE 750ML,8807616722,RUINART,WHITE,750ML,Latest 13 Wks,1470920.47,1283789.457,1148.749,1021.614,13784.986,12259.374,0.01903,0.01583,772948.2239,261185.275,1723.99,853.2070778,TOTAL,260997,1734,935.93,,106.70,104.72,0.66%
RUINART SPK CHAMPAGNE BLANC DE BLANC WHITE BRUT CHAMPAGNE FRANCE 750ML,8807616722,RUINART,WHITE,750ML,Latest 4 Wks,412773.87,343278.982,321.837,276.967,3862.04,3323.603,0.01217,0.01023,339173.2703,261443.248,1216.329,339.3603786,TOTAL,261123,1074,373.7,,106.88,103.29,0.47%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175383317,VEUVE CLICQUOT,WHITE,750ML,Latest 52 Wks,5813292.37,4818694.14,7928.75,6662.5,95145,79950,0.00075,0.00079,77510564.93,260960.495,161,36107.40602,TOTAL,260885,161,35939.22,,61.10,60.27,0.06%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175383317,VEUVE CLICQUOT,WHITE,750ML,Latest 26 Wks,2465907.9,2345809.35,3296.833,3242.417,39562,38909,0.00075,0.00075,32878772,261037.091,161,15316.19814,TOTAL,260922,161,14417.11,,62.33,60.29,0.06%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175383317,VEUVE CLICQUOT,WHITE,750ML,Latest 13 Wks,1187714.08,1171507.41,1508.417,1621.5,18101,19458,0.00075,0.00075,15836187.73,261185.275,161,7377.106087,TOTAL,260997,161,7599.52,,65.62,60.21,0.06%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175383317,VEUVE CLICQUOT,WHITE,750ML,Latest 4 Wks,393804.86,366726.8,537.167,507.417,6446,6089,0.00075,0.00075,5250731.467,261443.248,160,2461.280375,TOTAL,261123,161,2116.88,,61.09,60.23,0.06%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175383415,VEUVE CLICQUOT,PINK,750ML,Latest 52 Wks,5513385.953,6590821.248,6375.467,7602.414,76505.608,91228.966,0.02294,0.02392,2403394.051,260960.495,3532.589,1560.721033,TOTAL,260885,3566,1572.87,,72.07,72.24,1.35%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175383415,VEUVE CLICQUOT,PINK,750ML,Latest 26 Wks,2114792.97,2659273.982,2444.852,3003.147,29338.229,36037.76,0.01774,0.01894,1192104.267,261037.091,2609.838,810.3158012,TOTAL,260922,2718,743.01,,72.08,73.79,1.00%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175383415,VEUVE CLICQUOT,PINK,750ML,Latest 13 Wks,1125492.098,1440948.754,1294.808,1614.068,15537.7,19368.812,0.01448,0.01631,777273.5483,261185.275,1988.429,566.0207621,TOTAL,260997,2175,508.92,,72.44,74.40,0.76%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175383415,VEUVE CLICQUOT,PINK,750ML,Latest 4 Wks,364554.272,460852.928,417.001,501.483,5004.01,6017.799,0.0092,0.01094,396254.6435,261443.248,1256.858,290.0520759,TOTAL,261123,1222,257.52,,72.85,76.58,0.48%
PIPER-HEIDSIECK SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,66750500047,PIPER-HEIDSIECK,WHITE,750ML,Latest 52 Wks,5362471.388,6053559.457,9317.415,11615.158,111808.986,139381.901,0.13944,0.15846,384571.9584,260960.495,6920.902,774.8226153,TOTAL,260885,6808,797.47,,47.96,43.43,2.65%
PIPER-HEIDSIECK SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,66750500047,PIPER-HEIDSIECK,WHITE,750ML,Latest 26 Wks,2091438.095,2445714.806,3575.914,4494.145,42910.974,53929.743,0.10994,0.11703,190234.5002,261037.091,5301.09,394.5298222,TOTAL,260922,5079,417.77,,48.74,45.35,2.03%
